Game_name,Global_Sales,Publisher
"Valhalla Hills",0,"Kalypso Media"
"FlatOut 4: Total Insanity",0.01,"Bigben Interactive"
"Worms: WMD",0.02,"Team17 Digital Ltd"
"WRC 6",0.03,PQube
"Road Rage",0.04,"Maximum Games"
"Marvel's Guardians of the Galaxy: The Telltale Series",0.05,"Warner Bros. Interactive Entertainment"
"Aven Colony",0.06,"Sold Out"
"The Golf Club",0.07,Ravenscourt
"Bladestorm: Nightmare",0.08,"Tecmo Koei"
"We Happy Few",0.09,"Gearbox Software"
"MXGP 2",0.1,"Milestone S.r.l."
"Prototype: Biohazard Bundle",0.11,Activision
"Dead by Daylight",0.12,"505 Games"
"Hasbro Family Fun Pack",0.13,Ubisoft
"Tony Hawk's Pro Skater 5",0.14,Activision
"Wolfenstein: The Old Blood",0.15,"Bethesda Softworks"
"Pac-Man Championship Edition 2 + Arcade Game Series",0.16,"Namco Bandai Games"
"Project Spark (Working Title)",0.17,"Microsoft Studios"
"Shape Up",0.18,Ubisoft
Dishonored,0.19,"Bethesda Softworks"
"Sleeping Dogs",0.2,"Square Enix"
"DiRT Rally",0.21,Codemasters
"NBA Live 15",0.22,"Electronic Arts"
"Payday 2",0.23,"505 Games"
"Call of Duty: Modern Warfare Remastered",0.24,Activision
"F1 2015",0.25,Codemasters
ReCore,0.26,"Microsoft Studios"
"Assassin's Creed The Ezio Collection",0.27,Ubisoft
"Dark Souls II",0.28,"Namco Bandai Games"
"Sonic Forces",0.29,Sega
"LEGO City Undercover",0.3,"Warner Bros. Interactive Entertainment"
"METRO 2033",0.31,"Deep Silver"
"The Lego Ninjago Movie Videogame",0.33,"Warner Bros. Interactive Entertainment"
"Marvel vs. Capcom: Infinite",0.34,Capcom
"Skylanders SWAP Force",0.35,Activision
"Rayman Legends",0.38,Ubisoft
"Deus Ex: Mankind Divided",0.39,"Square Enix"
"Skylanders: SuperChargers",0.4,Activision
"Project CARS",0.41,"Bandai Namco Games"
"Hello Neighbor",0.42,"Gearbox Software"
"Rocksmith 2014",0.43,Ubisoft
"Lego Batman 3: Beyond Gotham",0.44,"Warner Bros. Interactive Entertainment"
"Prey (2017)",0.45,"Bethesda Softworks"
"ARK: Survival Evolved",0.46,"Studio Wildcard"
"Dragon Ball: Xenoverse 2",0.47,"Namco Bandai Games"
"LEGO Marvel's Avengers",0.48,"Warner Bros. Interactive Entertainment"
"Lego Star Wars: The Force Awakens",0.5,"Warner Bros. Interactive Entertainment"
"Halo Wars 2",0.51,"Microsoft Studios"
"Dragon Ball Fighter Z",0.52,"Namco Bandai Games"
"Just Dance 2015",0.54,Ubisoft
"Disney Infinity 2.0: Marvel Super Heroes",0.55,"Disney Interactive Studios"
"LEGO Marvel Super Heroes 2",0.57,"Warner Bros. Interactive Entertainment"
"Tekken 7",0.58,"Namco Bandai Games"
"NHL 17",0.6,"EA Sports"
"WWE 2K15",0.61,"2K Sports"
"Kinect Sports Rivals",0.62,"Microsoft Studios"
"WWE 2K16",0.63,"Take-Two Interactive"
"The LEGO Movie Videogame",0.65,"Warner Bros. Interactive Entertainment"
"WWE 2K18",0.66,"2K Sports"
Evolve,0.67,"2K Games"
"Borderlands: The Handsome Collection",0.68,"2K Games"
"The Evil Within",0.69,"Bethesda Softworks"
"Need for Speed Rivals",0.7,"Electronic Arts"
"The Crew",0.71,Ubisoft
"LEGO Dimensions",0.72,"Warner Bros. Interactive Entertainment"
"The Sims 4",0.73,"Electronic Arts"
"Need for Speed (2015)",0.74,"Electronic Arts"
"Wolfenstein: The New Order",0.75,"Bethesda Softworks"
"Quantum Break",0.76,"Microsoft Studios"
"Minecraft: Story Mode",0.77,Mojang
"LEGO Jurassic World",0.78,"Warner Bros. Interactive Entertainment"
"Dark Souls III",0.79,"Namco Bandai Games"
"Madden NFL 25",0.83,"EA Sports"
"Dishonored 2",0.86,"Bethesda Softworks"
"For Honor",0.87,Ubisoft
"Injustice 2",0.89,"Warner Bros. Interactive Entertainment"
"Monster Hunter: World",0.93,Capcom
"NBA 2K14",0.94,"2K Sports"
"Sea of Thieves",0.96,"Microsoft Studios"
"Dragon Age III: Inquisition",0.99,"Electronic Arts"
"Far Cry: Primal",1,Ubisoft
"Just Cause 3",1.01,"Square Enix"
"Diablo III",1.04,"Blizzard Entertainment"
"Mafia III",1.11,"2K Games"
"Final Fantasy XV",1.14,"Square Enix"
"Middle-Earth: Shadow of War",1.15,"Warner Bros. Interactive Entertainment"
"Sunset Overdrive",1.16,"Microsoft Studios"
"Battlefield: Hardline",1.24,"Electronic Arts"
"Destiny: The Taken King",1.27,Activision
"FIFA Soccer 14",1.31,"EA Sports"
"Watch Dogs 2",1.35,Ubisoft
"Titanfall 2",1.37,"Electronic Arts"
"Rocket League",1.38,"505 Games"
"Middle-Earth: Shadow of Mordor",1.42,"Warner Bros. Interactive Entertainment"
"Assassin's Creed Syndicate",1.44,Ubisoft
"Doom (2016)",1.45,"Bethesda Softworks"
"Forza Horizon 2",1.46,"Microsoft Studios"
"Dying Light",1.47,"Warner Bros. Interactive Entertainment"
"Forza Motorsport 7",1.52,"Microsoft Studios"
"Rise of the Tomb Raider",1.58,"Square Enix"
"Madden NFL 15",1.6,"EA Sports"
"Tom Clancy's Ghost Recon Wildlands",1.61,Ubisoft
"Dead Rising 3",1.63,"Microsoft Studios"
"Watch Dogs",1.64,Ubisoft
"Far Cry 4",1.68,Ubisoft
"Mortal Kombat X",1.74,"Warner Bros. Interactive Entertainment"
"Far Cry 5",1.78,Ubisoft
"The Elder Scrolls V: Skyrim",1.83,"Bethesda Softworks"
"Madden NFL 18",1.91,"EA Sports"
"Star Wars Battlefront II (2017)",1.92,"Electronic Arts"
"Forza Motorsport 6",2.02,"Microsoft Studios"
"NBA 2K17",2.04,"2K Sports"
"Battlefield 4",2.09,"Electronic Arts"
"PlayerUnknown's Battlegrounds",2.17,"Microsoft Studios"
"FIFA 15",2.19,"EA Sports"
"Assassin's Creed IV: Black Flag",2.32,Ubisoft
"Destiny 2",2.35,Activision
"Forza Motorsport 5",2.4,"Microsoft Studios"
"NBA 2K16",2.41,"2K Sports"
"Madden NFL 17",2.44,"EA Sports"
"Assassin's Creed Origins",2.47,Ubisoft
"Tom Clancy's The Division",2.59,Ubisoft
"Tom Clancy's Rainbow Six: Siege",2.71,Ubisoft
Overwatch,2.72,"Blizzard Entertainment"
"Call of Duty: Ghosts",3.07,Activision
Titanfall,3.11,"Electronic Arts"
"FIFA 18",3.14,"EA Sports"
"FIFA 16",3.25,"EA Sports"
"Gears of War 4",3.38,"Microsoft Studios"
Destiny,3.41,Activision
"Halo: The Master Chief Collection",3.44,"Microsoft Studios"
"Assassin's Creed: Unity",3.58,Ubisoft
"Gears of War: Ultimate Edition",3.62,"Microsoft Studios"
"FIFA 17",3.71,"Electronic Arts"
"Forza Horizon 3",3.93,"Microsoft Studios"
"Star Wars Battlefront (2015)",4.15,"Electronic Arts"
"Call of Duty: Infinite Warfare",4.79,Activision
"Halo 5: Guardians",4.92,"Microsoft Studios"
"Fallout 4",5.03,"Bethesda Softworks"
"Battlefield 1",5.13,"Electronic Arts"
"Call of Duty: Advanced Warfare",5.22,Activision
MineCraft,5.43,"Microsoft Studios"
"Red Dead Redemption 2",5.77,"Rockstar Games"
"Call of Duty: WWII",6.23,Activision
"Call of Duty: Black Ops 3",7.37,Activision
"Grand Theft Auto V",8.72,"Rockstar Games"
